total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
3,5,2,ALTUN Gamze,998,2003-07-29,20,W,TUR,A,44.45,45 kg Women,0,0,579,European Junior Championships,2023-07-24,61,-64,64,64,82,84,-89,84,148
4,3,4,FUENTEFRIA SANCHEZ Ruth,5279,2004-11-15,18.7,W,ESP,A,44.75,45 kg Women,0,0,579,European Junior Championships,2023-07-24,64,-66,68,68,73,76,79,79,147
5,4,5,MALASHCHUK Kateryna,9938,2008-03-28,15.3,W,UKR,A,44.8,45 kg Women,0,0,579,European Junior Championships,2023-07-24,63,65,67,67,72,75,78,78,145
6,7,6,JACOBS Noga,7200,2005-10-16,17.8,W,ISR,A,44.95,45 kg Women,0,0,579,European Junior Championships,2023-07-24,-51,53,55,55,64,67,-71,67,122
NA,6,NA,MIRON Ioana Madalina,10776,2005-01-05,18.5,W,ROU,A,44.35,45 kg Women,0,0,579,European Junior Championships,2023-07-24,-60,60,-64,60,-80,-80,-84,NA,NA
1,1,4,MAISURADZE Mariam,9891,2005-04-01,18.3,W,GEO,A,48.7,49 kg Women,0,0,579,European Junior Championships,2023-07-24,68,72,74,74,88,-92,-92,88,162
2,2,2,DRZAZGA OLIWIA Weronika,4438,2005-05-17,18.2,W,POL,A,48.55,49 kg Women,0,0,579,European Junior Championships,2023-07-24,69,72,-74,72,89,-93,-93,89,161
3,5,1,BILICIER Medine,2242,2004-02-15,19.4,W,TUR,A,48.7,49 kg Women,0,0,579,European Junior Championships,2023-07-24,69,-71,-71,69,-87,87,91,91,160
4,4,3,STRATOUDAKI Maria,15637,2008-06-05,15.1,W,GRE,A,48.8,49 kg Women,0,0,579,European Junior Championships,2023-07-24,64,67,70,70,84,-88,89,89,159
5,3,5,KOVALOVA Yuliia,8616,2003-02-09,20.5,W,UKR,A,48.9,49 kg Women,0,0,579,European Junior Championships,2023-07-24,70,-73,-73,70,-85,85,88,88,158
6,6,9,DOMINGUEZ MEDINA Daniela,4346,2005-04-28,18.2,W,ESP,A,48.6,49 kg Women,0,0,579,European Junior Championships,2023-07-24,66,-68,68,68,-79,79,-81,79,147
7,7,7,BERENZON Alina,2132,2003-06-10,20.1,W,ISR,A,48.85,49 kg Women,0,0,579,European Junior Championships,2023-07-24,55,60,64,64,75,79,81,81,145
8,8,8,CEBOTARU Diana,3006,2005-09-09,17.9,W,MDA,A,48.85,49 kg Women,0,0,579,European Junior Championships,2023-07-24,62,-65,-66,62,75,78,80,80,142
9,9,6,VINTELERIU Lavinia Alexandra,17064,2006-12-16,16.6,W,ROU,A,48.85,49 kg Women,0,0,579,European Junior Championships,2023-07-24,57,61,-63,61,78,81,-83,81,142
1,1,1,ALGUL Harun,735,2003-11-03,19.7,M,TUR,A,54.55,55 kg Men,0,0,579,European Junior Championships,2023-07-24,97,100,103,103,-120,120,123,123,226
2,3,2,REVKO Andrii,13609,2003-06-25,20.1,M,UKR,A,54.7,55 kg Men,0,0,579,European Junior Championships,2023-07-24,93,96,98,98,117,121,-129,121,219
3,4,3,KHUDANYAN Seyran,8145,2004-08-10,19,M,ARM,A,54.7,55 kg Men,0,0,579,European Junior Championships,2023-07-24,-95,-95,95,95,-121,-121,121,121,216
4,2,4,BETCA Iulian,2193,2003-08-17,19.9,M,MDA,A,54.3,55 kg Men,0,0,579,European Junior Championships,2023-07-24,94,97,99,99,115,-118,-120,115,214
