total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,WON Hyon Sim,17708,2002-02-04,22.2,W,PRK,A,45,45 kg Women,0,0,599,IWF World Cup - Paris 2024. Qual. Event,2024-03-31,80,85,87,87,100,106,109,109,196
2,3,2,PRAMONGHKHOL Siriwimon,13335,1994-11-29,29.3,W,THA,A,44.82,45 kg Women,0,0,599,IWF World Cup - Paris 2024. Qual. Event,2024-03-31,-73,73,75,75,90,96,101,101,176
3,2,3,KHONG My Phuong,8270,1999-05-07,24.9,W,VIE,A,45,45 kg Women,0,0,599,IWF World Cup - Paris 2024. Qual. Event,2024-03-31,72,74,76,76,84,-86,-86,84,160
4,5,4,KAMNOEDSRI Khemika,7840,2005-01-20,19.2,W,THA,A,44.66,45 kg Women,0,0,599,IWF World Cup - Paris 2024. Qual. Event,2024-03-31,67,69,71,71,82,-86,-86,82,153
5,7,5,ISMAYILOVA Nazila,7269,1998-10-05,25.5,W,AZE,A,45,45 kg Women,0,0,599,IWF World Cup - Paris 2024. Qual. Event,2024-03-31,55,-60,-60,55,65,-69,72,72,127
NA,4,NA,NGUYEN Thi Hoai,11893,2006-04-21,17.9,W,VIE,A,44.98,45 kg Women,0,0,599,IWF World Cup - Paris 2024. Qual. Event,2024-03-31,68,70,72,72,-85,-85,-85,NA,NA
NA,6,NA,HONG Zi-Yu,6819,2002-07-13,21.7,W,TPE,A,44.72,45 kg Women,0,0,599,IWF World Cup - Paris 2024. Qual. Event,2024-03-31,-68,-68,68,68,-86,-86,-86,NA,NA
